,Ticker,Price,One-YearPriceReturn,NumberSharesToBuy
0,MMM,115.48999786376953,-0.3033167221696581,N/A
1,AOS,60.76499938964844,-0.21419920902834405,N/A
2,ABT,112.33000183105469,-0.07665307231833339,N/A
3,ABBV,147.75,0.16051850775848803,N/A
4,ABMD,381.0199890136719,0.22145279871644988,N/A
5,ACN,273.79998779296875,-0.18008882796435915,N/A
6,ATVI,75.12999725341797,-0.054938386591567995,N/A
7,ADM,85.55999755859375,0.27108876387645736,N/A
8,ADBE,358.6700134277344,-0.3097986530358021,N/A
9,AAP,147.77000427246094,-0.3424242395435713,N/A
10,AMD,74.26499938964844,-0.36269629994330166,N/A
11,AES,26.94499969482422,0.2263857666766645,N/A
12,AFL,72.69499969482422,0.21317640593771855,N/A
13,A,155.13999938964844,0.13061657813524447,N/A
14,APD,312.4700012207031,0.13322605758182202,N/A
15,AKAM,87.69000244140625,-0.23206935312570656,N/A
16,ALK,49.8650016784668,-0.029863809374388182,N/A
17,ALB,263.9200134277344,0.253507553942731,N/A
18,ARE,158.41000366210938,-0.16338628459196866,N/A
19,ALGN,252.42999267578125,-0.4679299442008753,N/A
20,ALLE,113.29499816894531,-0.07189160949453167,N/A
21,LNT,54.380001068115234,-0.046084147323661895,N/A
22,ALL,127.41999816894531,0.0733800093859407,N/A
23,GOOGL,97.56999969482422,-0.2540748061417314,N/A
24,GOOG,99.08999633789062,-0.23994415300737038,N/A
25,MO,44.85499954223633,-0.028288341743259525,N/A
26,AMZN,96.58499908447266,-0.33179519839676314,N/A
27,AMCR,11.729999542236328,0.024097752834154277,N/A
28,AEE,86.51000213623047,0.027767948397688178,N/A
29,AAL,16.05500030517578,-0.021633122823722165,N/A
30,AEP,92.73999786376953,0.07629742374658223,N/A
31,AXP,155.16000366210938,-0.010115283804535908,N/A
32,AIG,63.099998474121094,0.12327836510648822,N/A
33,AMT,214.85000610351562,-0.11236316653958742,N/A
34,AWK,154.18499755859375,-0.01830758633687972,N/A
35,AMP,341.9100036621094,0.15539833357997737,N/A
36,ABC,161.4199981689453,0.24246288286332934,N/A
37,AME,143.89999389648438,0.0627327671588605,N/A
38,AMGN,259.69000244140625,0.18494541843176823,N/A
39,APH,79.44999694824219,0.03879660168878128,N/A
40,ADI,168.24000549316406,0.06185196082066464,N/A
41,ANSS,256.6300048828125,-0.2334139459784974,N/A
42,AON,324.7950134277344,0.19584029968808708,N/A
43,APA,44.209999084472656,0.4738081264668124,N/A
44,AAPL,142.14999389648438,-0.11536320567933521,N/A
45,AMAT,112.83999633789062,-0.18237989050535217,N/A
46,APTV,105.9800033569336,-0.24240471928420146,N/A
47,ANET,121.25499725341797,-0.0021807060316731634,N/A
48,AJG,197.22000122070312,0.27683424382822763,N/A
49,AIZ,129.52000427246094,-0.11886315156141797,N/A
50,T,19.20050048828125,0.02428332619551794,N/A
51,ATO,115.0999984741211,0.15290686553481517,N/A
52,ADSK,205.0399932861328,-0.16429595196494765,N/A
53,ADP,238.60499572753906,0.11412588998984212,N/A
54,AZO,2343.2548828125,0.18818479360428392,N/A
55,AVB,173.31500244140625,-0.25501319753565543,N/A
56,AVY,189.63999938964844,-0.03811773567136972,N/A
57,BKR,30.030000686645508,0.13852602516644696,N/A
58,BAC,34.459999084472656,-0.20847649888572264,N/A
59,BBWI,45.46500015258789,-0.17433762052709928,N/A
60,BAX,45.005001068115234,-0.4672657978041461,N/A
61,BDX,245.61000061035156,-0.018193162295360547,N/A
62,BBY,83.66999816894531,-0.13747703952524562,N/A
63,BIO,455.4100036621094,-0.22013496382217443,N/A
64,TECH,80.25,-0.15645458287698386,N/A
65,BIIB,291.125,0.2956740257097928,N/A
66,BLK,753.5900268554688,-0.014953507389752079,N/A
67,BK,49.6349983215332,-0.12395718622808499,N/A
68,BA,210.88059997558594,0.03271598005477472,N/A
69,BKNG,2401.5400390625,0.02209715583178963,N/A
70,BWA,44.4900016784668,0.024355837661358973,N/A
71,BXP,70.94999694824219,-0.3541826956764921,N/A
72,BSX,45.73500061035156,0.0720815933881442,N/A
73,BMY,72.38999938964844,0.19110784944966366,N/A
74,AVGO,583.4450073242188,0.11194911386995314,N/A
75,BR,150.3350067138672,-0.03025510793141438,N/A
76,BRO,58.380001068115234,-0.09025986262323635,N/A
77,CHRW,99.30000305175781,-0.05704386699061988,N/A
78,CDNS,181.4600067138672,0.1964921688789529,N/A
79,CZR,51.29499816894531,-0.3247103898474011,N/A
80,CPB,51.505001068115234,0.171448239325936,N/A
81,COF,107.37999725341797,-0.2608223827082623,N/A
82,CAH,74.82499694824219,0.5198966202838758,N/A
83,KMX,66.61499786376953,-0.40479807939942103,N/A
84,CCL,10.654999732971191,-0.4602330366507576,N/A
85,CARR,43.79999923706055,-0.0656492886768341,N/A
86,CTLT,49.54999923706055,-0.5223635988297476,N/A
87,CAT,257.9800109863281,0.23184977344047702,N/A
88,CBOE,122.2300033569336,0.0349704058947765,N/A
89,CBRE,83.48999786376953,-0.1713151576797069,N/A
90,CDW,197.7550048828125,0.08087682642982696,N/A
91,CE,121.9000015258789,-0.2245849397548847,N/A
92,CNC,75.62000274658203,-0.024635574136302928,N/A
93,CNP,30.170000076293945,0.13720673703820252,N/A
94,CDAY,72.80000305175781,-0.062459734434193205,N/A
95,CF,84.66000366210938,0.25815828733961155,N/A
96,CRL,245.57000732421875,-0.2560513494845646,N/A
97,SCHW,79.12000274658203,-0.09813967698001473,N/A
98,CHTR,391.4049987792969,-0.321807919415362,N/A
99,CVX,180.49000549316406,0.4702907824114158,N/A
