,Ticker,Price,NumberSharesToBuy,OneYearPriceReturn,OneYearReturnPercentile,SixMonthPriceReturn,SixMonthReturnPercentile,ThreeMonthPriceReturn,ThreeMonthReturnPercentile,OneMonthPriceReturn,OneMonthReturnPercentile,HQM Score
0,MMM,115.0,N/A,-0.193568182375076,N/A,-0.05476024071717237,N/A,-0.07639464697521649,N/A,-0.0621432276618868,N/A,N/A
1,AOS,60.66999816894531,N/A,-0.10206413264649357,N/A,0.08100497733524527,N/A,-0.0011525108262600136,N/A,0.007639911833037775,N/A,N/A
2,ABT,112.52999877929688,N/A,-0.050469562528112626,N/A,0.10640885347201365,N/A,0.05074826336077714,N/A,-0.008512409516324235,N/A,N/A
3,ABBV,147.69000244140625,N/A,0.037503246548261315,N/A,0.12011781879689382,N/A,-0.07498472804450924,N/A,0.0036617692028753698,N/A,N/A
4,ABMD,381.0199890136719,N/A,0.22616979142687213,N/A,0.5394125387657772,N/A,0.5510053868506086,N/A,0.008549671499229004,N/A,N/A
5,ACN,274.8699951171875,N/A,-0.11703011930613222,N/A,-0.03895978627569522,N/A,-0.08286199063346077,N/A,-0.01197702005808609,N/A,N/A
6,ATVI,75.11000061035156,N/A,-0.07292683491841134,N/A,-0.043062776728372845,N/A,0.01568632467856983,N/A,-0.0014623851178732308,N/A,N/A
7,ADM,85.7699966430664,N/A,0.11405942921380738,N/A,-0.015390483430652396,N/A,-0.11655960043695626,N/A,0.01683459626120768,N/A,N/A
8,ADBE,361.32000732421875,N/A,-0.22742043067319423,N/A,-0.03245499956606593,N/A,0.047516930961244014,N/A,-0.010027956468680353,N/A,N/A
9,AAP,147.27000427246094,N/A,-0.2538525812027342,N/A,-0.10963797092202755,N/A,-0.014331354436056147,N/A,-0.00908350752980505,N/A,N/A
10,AMD,74.69999694824219,N/A,-0.3943570685408396,N/A,-0.11983039318034451,N/A,-0.03774314580497781,N/A,-0.023912215604918383,N/A,N/A
11,AES,26.989999771118164,N/A,0.2978038592389836,N/A,0.06688136688366643,N/A,-0.06673583333624623,N/A,0.00297286971979482,N/A,N/A
12,AFL,72.80000305175781,N/A,0.22268497337417217,N/A,0.2403260969597456,N/A,0.01802163483824975,N/A,0.017612554097088257,N/A,N/A
13,A,155.69000244140625,N/A,0.20216588505991978,N/A,0.21787171507772282,N/A,0.006079487704360358,N/A,-0.02118694309640032,N/A,N/A
14,APD,313.3399963378906,N/A,0.3600507539106911,N/A,0.25646971722616707,N/A,0.015535705030793875,N/A,0.014965000968254977,N/A,N/A
15,AKAM,87.75,N/A,-0.1894513368882205,N/A,-0.028023912422527164,N/A,-0.07495256762180208,N/A,-0.016145334701075556,N/A,N/A
16,ALK,49.72999954223633,N/A,-0.11417883714109976,N/A,0.1416436633247783,N/A,0.048271521539169276,N/A,-0.007385208446181625,N/A,N/A
17,ALB,264.5899963378906,N/A,0.3595265695066825,N/A,-0.009726401623164727,N/A,-0.046683883364950794,N/A,0.015154931965381566,N/A,N/A
18,ARE,158.6199951171875,N/A,-0.13635830414737968,N/A,0.05161197188220811,N/A,0.028014536340653852,N/A,-0.0026408336687344003,N/A,N/A
19,ALGN,252.6300048828125,N/A,-0.5060610622463494,N/A,0.03664344705128124,N/A,0.28460286880126257,N/A,0.004972551419046717,N/A,N/A
20,ALLE,113.38999938964844,N/A,0.0021302489484453864,N/A,0.19748379613440595,N/A,-0.002287744238800247,N/A,0.011597850782678299,N/A,N/A
21,LNT,54.33000183105469,N/A,-0.04821514159138035,N/A,-0.10238013260584843,N/A,-0.034991073405007636,N/A,0.008351907090175463,N/A,N/A
22,ALL,127.26000213623047,N/A,0.06817722923782284,N/A,0.07023791558425227,N/A,-0.04346306927952973,N/A,0.016129066647367782,N/A,N/A
23,GOOGL,97.69999694824219,N/A,-0.27660179033195437,N/A,-0.09720942666602371,N/A,-0.0325774926737338,N/A,-0.02094402192715033,N/A,N/A
24,GOOG,99.20999908447266,N/A,-0.2645173189753147,N/A,-0.09106735961931733,N/A,-0.022079821894054216,N/A,-0.01976089337112576,N/A,N/A
25,MO,44.779998779296875,N/A,-0.05525759077812025,N/A,0.03562323412278657,N/A,-0.018782280451138503,N/A,-0.0006695512848616796,N/A,N/A
26,AMZN,96.31999969482422,N/A,-0.3727655914875985,N/A,-0.24019876748894453,N/A,-0.0022788607687669947,N/A,-0.012305137300550823,N/A,N/A
27,AMCR,11.739999771118164,N/A,0.05052894328681727,N/A,-0.0022455849365390856,N/A,-0.03953985728560208,N/A,-0.021666685740152996,N/A,N/A
28,AEE,86.47000122070312,N/A,0.03267132388495867,N/A,-0.05403846211628776,N/A,-0.025316681032625646,N/A,0.005698974699214371,N/A,N/A
29,AAL,16.020000457763672,N/A,-0.0713043212890625,N/A,0.23325640800875003,N/A,0.11018711843114697,N/A,-0.009276414212896673,N/A,N/A
30,AEP,92.69999694824219,N/A,0.05767512058213343,N/A,-0.05883064662928442,N/A,-0.03336606263054129,N/A,0.0004316132587113915,N/A,N/A
31,AXP,155.3300018310547,N/A,-0.1904248681917285,N/A,0.029364530110891435,N/A,-0.010924545944945971,N/A,0.012132517214205022,N/A,N/A
32,AIG,63.15999984741211,N/A,0.05494683409193608,N/A,0.23394409672646263,N/A,0.005856342192783064,N/A,0.0009508934190485553,N/A,N/A
33,AMT,215.1699981689453,N/A,-0.02667881289359998,N/A,-0.14055420170546104,N/A,-0.02028628599739227,N/A,-0.002318356768419521,N/A,N/A
