,Ticker,Price,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/Sales Ratio,P/Sales Percentile,EV/EBITDA Ratio,EV/EBITDA Percentile,EV/Gross Ratio,EV/Gross Percentile,NumberSharesToBuy,RV Score
34,ALB,264.72259521484375,21.78,4.183266932270916,5.0,5.9760956175298805,6.05,96.81274900398405,18.27,5.278884462151394,6.37,96.41434262948206,N/A,41.733067729083665
35,TRGP,76.58000183105469,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,1.43,2.589641434262948,N/A,41.89243027888446
36,ADI,177.62950134277344,33.86,6.972111553784861,2.47,3.386454183266932,7.74,97.80876494023904,17.0,4.9800796812749,7.92,97.60956175298804,N/A,42.15139442231076
37,AAL,16.309999465942383,89.58,99.00398406374501,7.6976363636363665,52.191235059760956,0.23,0.398406374501992,21.32,96.21513944223108,0.94,1.792828685258964,N/A,49.9203187250996
38,NSC,241.22000122070312,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
39,NOW,456.9200134277344,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
40,NRG,34.83000183105469,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
41,NTAP,66.16999816894531,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
42,J,121.27999877929688,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
43,NEE,74.74500274658203,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
44,NKE,121.81999969482422,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
45,NI,26.899999618530273,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
46,NFLX,349.17999267578125,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
47,NEM,47.80500030517578,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
48,NDSN,241.3249969482422,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
49,NDAQ,59.43000030517578,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
