,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,60.27532196044922,143.22320556640625,236.64552307128906,35.95000076293945,61.380001068115234,146.9199981689453,246.7899932861328,35.95000076293945,64.5625,154.3300018310547,256.3500061035156,37.133331298828125,61.07500076293945,144.44000244140625,239.75,34.07400131225586,62.6875,148.91000366210938,244.8699951171875,36.349998474121094,303602000.0,75638200,299430300.0,318340500.0
2020-03-26,63.44718551635742,152.18194580078125,250.46322631835938,35.21066665649414,64.61000061035156,156.11000061035156,261.20001220703125,35.21066665649414,64.66999816894531,156.66000366210938,262.79998779296875,37.33333206176758,61.59000015258789,148.3699951171875,249.0500030517578,34.150001525878906,61.630001068115234,148.39999389648438,249.52000427246094,36.49266815185547,252087200.0,64568100,257632800.0,260710500.0
2020-03-27,60.82032775878906,145.9332275390625,243.00299072265625,34.29066848754883,61.935001373291016,149.6999969482422,253.4199981689453,34.29066848754883,63.967498779296875,154.88999938964844,260.80999755859375,35.0533332824707,61.76250076293945,149.1999969482422,251.0500030517578,32.935333251953125,63.1875,151.75,253.27000427246094,33.66666793823242,204216800.0,57042300,224341200.0,215661000.0
2020-03-30,62.55601501464844,156.19827270507812,250.8947296142578,33.47533416748047,63.70249938964844,160.22999572753906,261.6499938964844,33.47533416748047,63.880001068115234,160.60000610351562,262.42999267578125,34.44333267211914,62.349998474121094,150.00999450683594,253.52999877929688,32.7486686706543,62.685001373291016,152.44000244140625,255.6999969482422,34.017333984375,167976400.0,63420300,171369500.0,179971500.0
2020-03-31,62.4283561706543,153.74168395996094,247.15501403808594,34.93333435058594,63.5724983215332,157.7100067138672,257.75,34.93333435058594,65.62249755859375,164.77999877929688,263.3299865722656,36.19733428955078,63.0,156.55999755859375,256.2200012207031,33.133331298828125,63.900001525878906,159.39999389648438,260.55999755859375,33.41666793823242,197002000.0,77927200,194881100.0,266572500.0
2020-04-01,59.14356231689453,148.28256225585938,236.03184509277344,32.104000091552734,60.227500915527344,152.11000061035156,246.14999389648438,32.104000091552734,62.18000030517578,157.75,257.6600036621094,34.26333236694336,59.782501220703125,150.82000732421875,243.89999389648438,31.67333221435547,61.625,153.0,247.97999572753906,33.599998474121094,176218400.0,57969900,189554600.0,200298000.0
2020-04-02,60.130470275878906,151.3533172607422,241.47836303710938,30.29800033569336,61.23249816894531,155.25999450683594,251.8300018310547,30.29800033569336,61.287498474121094,155.47999572753906,252.67999267578125,32.95066833496094,59.224998474121094,150.36000061035156,244.58999633789062,29.760000228881836,60.084999084472656,151.86000061035156,245.19000244140625,32.068668365478516,165934000.0,49630700,177660400.0,297876000.0
2020-04-03,59.26631546020508,149.95932006835938,237.9879913330078,32.000667572021484,60.352500915527344,153.8300018310547,248.19000244140625,32.000667572021484,61.42499923706055,157.3800048828125,253.32000732421875,34.36600112915039,59.74250030517578,152.19000244140625,245.22000122070312,31.22599983215332,60.70000076293945,155.10000610351562,250.75999450683594,33.96666717529297,129880000.0,41243300,135561200.0,338431500.0
2020-04-06,64.4365463256836,161.1114501953125,253.97276306152344,34.41600036621094,65.61750030517578,165.27000427246094,264.8599853515625,34.41600036621094,65.77749633789062,166.5,267.0,34.733333587646484,62.345001220703125,157.5800018310547,248.1699981689453,33.19733428955078,62.724998474121094,160.32000732421875,257.8399963378906,34.08000183105469,201820400.0,67111700,188061200.0,223527000.0
2020-04-07,63.69022750854492,159.37623596191406,254.2316436767578,36.36333465576172,64.85749816894531,163.49000549316406,265.1300048828125,36.36333465576172,67.92500305175781,170.0,275.0299987792969,37.66666793823242,64.75,163.25999450683594,264.8900146484375,35.48933410644531,67.69999694824219,169.58999633789062,274.2099914550781,36.33333206176758,202887200.0,62769000,201427200.0,268797000.0
2020-04-08,65.32035827636719,160.97499084472656,262.76580810546875,36.589332580566406,66.51750183105469,165.1300048828125,274.0299987792969,36.589332580566406,66.84249877929688,166.6699981689453,276.0,37.14733123779297,65.30750274658203,163.5,265.25,35.55533218383789,65.68499755859375,165.6699981689453,267.9599914550781,36.9466667175293,168895200.0,48318200,153774500.0,189840000.0
2020-04-09,65.79173278808594,160.98471069335938,266.764404296875,38.20000076293945,66.99749755859375,165.13999938964844,278.20001220703125,38.20000076293945,67.51750183105469,167.3699951171875,281.20001220703125,38.345333099365234,66.17500305175781,163.3300018310547,275.4700012207031,37.14066696166992,67.17500305175781,166.36000061035156,277.5799865722656,37.4726676940918,161834800.0,51385100,189999200.0,204750000.0
2020-04-13,67.08306121826172,161.3453826904297,264.3288269042969,43.39666748046875,68.3125,165.50999450683594,275.6600036621094,43.39666748046875,68.42500305175781,165.57000732421875,277.510009765625,43.46666717529297,66.4574966430664,162.3000030517578,271.4100036621094,38.70199966430664,67.07749938964844,164.35000610351562,277.1400146484375,39.34400177001953,131022800.0,41905300,114839100.0,337131000.0
